,UNIQUE-ID,ERXN-NUMBER,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
2551,RXN-11136,N/A,['EC-3.4.25.2'],"['General-Protein-Substrates', 'ATP', 'WATER']","['Peptides-holder', 'ADP', 'Pi']",-56.85205
2552,RXN-11052,N/A,['EC-1.14.14.147'],"['CPD-712', 'OXYGEN-MOLECULE', 'Red-NADPH-Hemoprotein-Reductases']","['CPD-720', 'Ox-NADPH-Hemoprotein-Reductases', 'WATER']",-83.59476
2553,3-ETHYLMALATE-SYNTHASE-RXN,"['ENZRXN3O-11478', 'ENZRXN3O-11479']",['EC-2.3.3.7'],"['BUTYRYL-COA', 'GLYOX', 'WATER']","['CPD-1130', 'CO-A', 'PROTON']",-11.061218
2554,RXN-16876,['ENZRXN-24023'],['EC-6.3.2'],"['2-Amino-3-sulfanylprop-2-enoate-HlmE', 'CYS', 'Acceptor', 'ATP']","['Cys-Cys-HlmE', 'Donor-H2', 'AMP', 'PPI', 'PROTON']",N/A
2555,RXN0-6948,['ENZRXN0-7513'],['EC-2.3.1.1'],"['MET', 'ACETYL-COA']","['CPD0-2015', 'CO-A', 'PROTON']",-5.914154
2556,RXN-7810,['ENZRXN-12519'],['EC-2.5.1.137'],"['CPD-4211', 'CPD-7109']","['PPI', 'CPD-7105']",-16.910034
2557,RXN-9515,"['ENZRXN-22167', 'ENZRXN-21699', 'ENZRXN-15133']","['EC-1.3.1.10', 'EC-1.3.1.39', 'EC-2.3.1.85', 'EC-2.3.1.86']","['Butanoyl-ACPs', 'NADP']","['Crotonyl-ACPs', 'NADPH', 'PROTON']",33.16577
2558,3.4.21.78-RXN,N/A,['EC-3.4.21.78'],"['WATER', 'General-Protein-Substrates']",['Peptides-holder'],-12.679367
2559,RXN66-321,['ENZRXN66-4081'],['EC-1.3.1.72'],"['CPD-4186', 'NADP']","['5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL', 'NADPH', 'PROTON']",13.61348
2560,RXN-10659,['ENZRXN-16656'],['EC-1.1.1.100'],"['3-hydroxy-cis-D9-hexaecenoyl-ACPs', 'NADP']","['3-oxo-cis-D9-hexadecenoyl-ACPs', 'NADPH', 'PROTON']",20.375732
2561,RXN-15851,N/A,['EC-1.1.3.47'],"['CPD-11572', 'OXYGEN-MOLECULE', 'WATER']","['CPD-14105', 'HYDROGEN-PEROXIDE', 'PROTON']",-112.78836
2562,RXN-13483,"['ENZRXN-20511', 'ENZRXN-20510']",['EC-1.14.13'],"['CPD-12358', 'OXYGEN-MOLECULE', 'NADPH', 'PROTON']","['CPD-14471', 'WATER', 'NADP']",-101.17749
2563,RXN-16757,N/A,N/A,"['ATP', 'CPD-468', 'Holo-LYS2-peptidyl-carrier-protein']","['AMP', 'PPI', '2-Aminoadipyl-LYS2']",-105.151855
2564,5.1.1.16-RXN,N/A,['EC-5.1.1.16'],['Protein-L-serines'],['Protein-D-serines'],0.
2565,RXN0-6941,['ENZRXN0-7503'],['EC-1.16.1.9'],"['FE+2', 'CPD0-2483', 'NADP']","['CPD0-2482', 'NADPH', 'PROTON']",-19.132202
2566,RXN-8132,['ENZRXN-12873'],['EC-2.1.1.252'],"['CPD-7679', 'MtqC-Proteins', 'PROTON']","['Methylated-MtqC-Proteins', 'TRIMETHYLAMINE']",-1.4333649
