,entry,KEGG,PubChem,CID,SMILES
1120,1.3.99.31,C05430,7794,5280788,CC(=CCC/C(=C/CC/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)/C)/C)/C)C
1134,1.3.99.31,C05414,7780,6436722,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)/C)/C)/C)C
1127,1.3.99.31,C05432,7796,446925,CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C)\C)/C)/C)/C)C
1124,1.3.99.31,C05431,7795,5280789,CC(=CCC/C(=C/CC/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/CCC=C(C)C)/C)/C)/C)C
1153,1.4.1.13,C00025,3327,33032,C(CC(=O)O)[C@@H](C(=O)O)N
1142,1.4.1.13,C00064,3364,5961,C(CC(=O)N)[C@@H](C(=O)O)N
50,1.4.1.13,C00026,3328,51,C(CC(=O)O)C(=O)C(=O)O
1027,1.4.1.18,C00450,3738,24771808,C1CC=N[C@@H](C1)C(=O)O
1169,1.4.1.18,C00047,3349,5962,C(CCN)C[C@@H](C(=O)O)N
1025,1.4.1.18,C04076,6771,160603,C(CC=O)C[C@@H](C(=O)O)N
51,1.4.3.15,C00026,3328,51,C(CC(=O)O)C(=O)C(=O)O
1170,1.4.3.15,C00217,3517,23327,C(CC(=O)O)[C@H](C(=O)O)N
1172,1.4.3.15,C00402,3692,83887,C([C@H](C(=O)O)N)C(=O)O
109,1.4.3.15,C00036,3338,970,C(C(=O)C(=O)O)C(=O)O
637,1.4.3.19,C00048,3350,760,C(=O)C(=O)O
1174,1.4.3.19,C00037,3339,750,C(C(=O)O)N
1173,1.4.3.19,C15809,47205134,3080609,C(=N)C(=O)O
1181,1.4.3.5,C00627,3900,1055,CC1=NC=C(C(=C1O)CO)COP(=O)(O)O
1182,1.4.3.5,C00647,3919,1053,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
775,1.4.7.1,C00138,3438,none,none
52,1.4.7.1,C00026,3328,51,C(CC(=O)O)C(=O)C(=O)O
793,1.4.7.1,C00139,3439,none,none
1154,1.4.7.1,C00025,3327,33032,C(CC(=O)O)[C@@H](C(=O)O)N
1143,1.4.7.1,C00064,3364,5961,C(CC(=O)N)[C@@H](C(=O)O)N
1185,1.4.99.6,C00792,4050,71070,C(C[C@H](C(=O)O)N)CN=C(N)N
1184,1.4.99.6,C03771,6525,558,C(CC(=O)C(=O)O)CN=C(N)N
1183,1.4.99.6,C21026,254741480,49867141,C(CC(=N)C(=O)O)CN=C(N)N
1192,1.5.1.1,C00148,3448,145742,C1C[C@H](NC1)C(=O)O
1190,1.5.1.1,C03564,6356,440046,C1CC(=NC1)C(=O)O
1188,1.5.1.1,C04092,6784,1194,C1CCN=C(C1)C(=O)O
1186,1.5.1.1,C00408,3698,439227,C1CCN[C@@H](C1)C(=O)O
1191,1.5.1.21,C03564,6356,440046,C1CC(=NC1)C(=O)O
1189,1.5.1.21,C04092,6784,1194,C1CCN=C(C1)C(=O)O
1187,1.5.1.21,C00408,3698,439227,C1CCN[C@@H](C1)C(=O)O
